"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60450","Verify total price is calculated correctly","","Sun Feb 22 20:34:49 UTC 2026","broken","Sun Feb 22 20:35:49 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","10728","Register new users from USA","","Sun Feb 22 20:34:16 UTC 2026","failed","Sun Feb 22 20:34:27 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","7823","Try logging in with correct credentials and then log out","","Sun Feb 22 20:34:06 UTC 2026","failed","Sun Feb 22 20:34:14 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","60415","Enter billing info and pay and confirm order","","Sun Feb 22 20:35:01 UTC 2026","broken","Sun Feb 22 20:36:02 UTC 2026","Tests for verifying Payment Page","ui/verifyPaymentPage.spec.ts","",""
"","10634","Register new users from Australia","","Sun Feb 22 20:34:23 UTC 2026","failed","Sun Feb 22 20:34:34 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","10029","Register new users from Singapore","","Sun Feb 22 20:34:36 UTC 2026","failed","Sun Feb 22 20:34:46 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","3087","Try logging in with incorrect email","","Sun Feb 22 20:34:05 UTC 2026","passed","Sun Feb 22 20:34:08 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","2620","Search for a product","","Sun Feb 22 20:35:24 UTC 2026","passed","Sun Feb 22 20:35:26 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","3051","Add single product to the cart and verify cart modal appeared","","Sun Feb 22 20:35:26 UTC 2026","passed","Sun Feb 22 20:35:29 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","2290","Try to register with existing user","","Sun Feb 22 20:34:42 UTC 2026","passed","Sun Feb 22 20:34:44 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","15607","Add two products to the Cart and verify everything is visible in Cart page","","Sun Feb 22 20:34:43 UTC 2026","failed","Sun Feb 22 20:34:59 UTC 2026","Tests for verifying Cart Page","ui/verifyCartPage.spec.ts","",""
"","2650","Verify First Product details are visible","","Sun Feb 22 20:35:21 UTC 2026","passed","Sun Feb 22 20:35:23 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","10132","Register new users from Israel","","Sun Feb 22 20:34:29 UTC 2026","failed","Sun Feb 22 20:34:39 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","15289","Verify Checkout page elements are visible","","Sun Feb 22 20:34:44 UTC 2026","failed","Sun Feb 22 20:35:00 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","341","should POST to search product with one parameter and get status 200","","Sun Feb 22 20:34:05 UTC 2026","passed","Sun Feb 22 20:34:05 UTC 2026","","api/api-products.spec.ts","",""
"","3156","Try logging in with incorrect password","","Sun Feb 22 20:34:06 UTC 2026","passed","Sun Feb 22 20:34:09 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","3521","Verify All Products and first product's detail page","","Sun Feb 22 20:35:17 UTC 2026","passed","Sun Feb 22 20:35:20 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","10888","Register new users from New Zealand","","Sun Feb 22 20:34:30 UTC 2026","failed","Sun Feb 22 20:34:41 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","9732","Register new users from Canada","","Sun Feb 22 20:34:16 UTC 2026","failed","Sun Feb 22 20:34:26 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","11117","Register new users from India","","Sun Feb 22 20:34:09 UTC 2026","failed","Sun Feb 22 20:34:21 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","14402","Verify adding a comment works","","Sun Feb 22 20:35:01 UTC 2026","failed","Sun Feb 22 20:35:15 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","6086","Register new user from specific country using generated Faker information","","Sun Feb 22 20:34:09 UTC 2026","passed","Sun Feb 22 20:34:16 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","413","should GET list of all products and get status 200","","Sun Feb 22 20:34:05 UTC 2026","passed","Sun Feb 22 20:34:05 UTC 2026","","api/api-products.spec.ts","",""
