"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1605","Verify Checkout page elements are visible","","Sun Feb 22 20:06:32 UTC 2026","failed","Sun Feb 22 20:06:34 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","5932","Register new user from specific country using generated Faker information","","Sun Feb 22 20:06:18 UTC 2026","passed","Sun Feb 22 20:06:24 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","4291","Verify All Products and first product's detail page","","Sun Feb 22 20:06:36 UTC 2026","passed","Sun Feb 22 20:06:40 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","2687","Try logging in with incorrect email","","Sun Feb 22 20:06:13 UTC 2026","passed","Sun Feb 22 20:06:15 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","2442","Try to register with existing user","","Sun Feb 22 20:06:30 UTC 2026","passed","Sun Feb 22 20:06:32 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","1915","Verify adding a comment works","","Sun Feb 22 20:06:36 UTC 2026","failed","Sun Feb 22 20:06:38 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","2992","Register new users from Canada","","Sun Feb 22 20:06:22 UTC 2026","failed","Sun Feb 22 20:06:25 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","2054","Enter billing info and pay and confirm order","","Sun Feb 22 20:06:36 UTC 2026","failed","Sun Feb 22 20:06:38 UTC 2026","Tests for verifying Payment Page","ui/verifyPaymentPage.spec.ts","",""
"","2755","Register new users from Singapore","","Sun Feb 22 20:06:27 UTC 2026","failed","Sun Feb 22 20:06:30 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","2339","Register new users from USA","","Sun Feb 22 20:06:17 UTC 2026","failed","Sun Feb 22 20:06:20 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","1527","Verify total price is calculated correctly","","Sun Feb 22 20:06:33 UTC 2026","failed","Sun Feb 22 20:06:34 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","4617","Search for a product","","Sun Feb 22 20:06:40 UTC 2026","passed","Sun Feb 22 20:06:44 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","1918","Try logging in with correct credentials and then log out","","Sun Feb 22 20:06:13 UTC 2026","failed","Sun Feb 22 20:06:15 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","2590","Try logging in with incorrect password","","Sun Feb 22 20:06:13 UTC 2026","passed","Sun Feb 22 20:06:16 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","1896","Add two products to the Cart and verify everything is visible in Cart page","","Sun Feb 22 20:06:32 UTC 2026","failed","Sun Feb 22 20:06:34 UTC 2026","Tests for verifying Cart Page","ui/verifyCartPage.spec.ts","",""
"","2905","Register new users from Australia","","Sun Feb 22 20:06:22 UTC 2026","failed","Sun Feb 22 20:06:25 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","4672","Add single product to the cart and verify cart modal appeared","","Sun Feb 22 20:06:41 UTC 2026","passed","Sun Feb 22 20:06:46 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","2789","Register new users from New Zealand","","Sun Feb 22 20:06:27 UTC 2026","failed","Sun Feb 22 20:06:30 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","4361","Verify First Product details are visible","","Sun Feb 22 20:06:40 UTC 2026","passed","Sun Feb 22 20:06:44 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","398","should POST to search product with one parameter and get status 200","","Sun Feb 22 20:06:12 UTC 2026","passed","Sun Feb 22 20:06:13 UTC 2026","","api/api-products.spec.ts","",""
"","2235","Register new users from India","","Sun Feb 22 20:06:17 UTC 2026","failed","Sun Feb 22 20:06:20 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","420","should GET list of all products and get status 200","","Sun Feb 22 20:06:13 UTC 2026","passed","Sun Feb 22 20:06:13 UTC 2026","","api/api-products.spec.ts","",""
"","2839","Register new users from Israel","","Sun Feb 22 20:06:25 UTC 2026","failed","Sun Feb 22 20:06:28 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
